"ONDERWIJSSECTOR","JAAR","SCHOOLTYPE","RPA_GEBIEDCODE","RANDSTAD","CATEGORIE_SCHOOLOMVANG","CATEGORIE_BESTUUROMVANG","AANTAL_LEERLINGEN","OMVANG_FORMATIE_TOTAAL","OMVANG_FORMATIE_MANAGER","OMVANG_FORMATIE_OP","OMVANG_FORMATIE_LIO","OMVANG_FORMATIE_OOP_OBP","OMVANG_FORMATIE_ONBEKEND","LEERLING_LERAAR_RATIO","OMVANG_FORMATIE_OP_LA","OMVANG_FORMATIE_OP_LB","OMVANG_FORMATIE_OP_LC","OMVANG_FORMATIE_OP_LD","OMVANG_FORMATIE_OP_LE","OMVANG_FORMATIE_OP_OVERIG","AANDEEL_FORMATIE_OP_LA","AANDEEL_FORMATIE_OP_LB","AANDEEL_FORMATIE_OP_LC","AANDEEL_FORMATIE_OP_LD","AANDEEL_FORMATIE_OP_LE","AANDEEL_FORMATIE_OP_OVERIG","STREEFPERCENTAGE_FORMATIE_OP_LA","STREEFPERCENTAGE_FORMATIE_OP_LB","STREEFPERCENTAGE_FORMATIE_OP_LC","STREEFPERCENTAGE_FORMATIE_OP_LD","STREEFPERCENTAGE_FORMATIE_OP_LE","STREEFPERCENTAGE_FORMATIE_OP_OVERIG"
1,2017," ",23,,,,101457,6430.8,454.4,5350.3,14.4,611.7,0,19,3962.1,1367.4,11.8,0,0,9,74.1,25.6,0.2,0,0,0.2,,,,,,
1,2006," ",24,,,,35942,2446.8,285.5,1970.2,0.5,190.6,0,18.2,1946.5,22.7,1,0,0,0,98.8,1.2,0.1,0,0,0,,,,,,
1,2007," ",24,,,,35716,2489.1,282.2,2017.2,1.2,188.5,0,17.7,1993.6,21.6,2,0,0,0,98.8,1.1,0.1,0,0,0,,,,,,
1,2008," ",24,,,,35281,2474.4,271.9,1998,0,204.6,0,17.7,1972.7,23.3,2,0,0,0,98.7,1.2,0.1,0,0,0,,,,,,
1,2009," ",24,,,,34751,2511.1,270.4,2015.7,0,224.9,0,17.2,1976.4,34.4,4,0,0,1,98,1.7,0.2,0,0,0,,,,,,
1,2010," ",24,,,,33941,2441.8,253,1965.2,0,223.6,0,17.3,1852.6,107.6,2,0,0,3,94.3,5.5,0.1,0,0,0.2,,,,,,
1,2011," ",24,,,,33181,2331.7,234.8,1887.3,1,208.2,0.4,17.6,1594.1,289.1,2,0,0,2,84.5,15.3,0.1,0,0,0.1,,,,,,
1,2012," ",24,,,,32419,2200.8,228.3,1783.3,0.5,188.8,0,18.2,1423.4,357,2.8,0,0,0,79.8,20,0.2,0,0,0,,,,,,
1,2013," ",24,,,,31658,2101.4,224.5,1709.5,0,167.5,0,18.5,1313.2,393.2,3,0,0,0,76.8,23,0.2,0,0,0,,,,,,
1,2014," ",24,,,,30880,2043,207.6,1668.8,0,166.5,0,18.5,1216.6,448.2,4,0,0,0,72.9,26.9,0.2,0,0,0,58,40,2,0,0,0
1,2015," ",24,,,,30387,1993.2,193.5,1628.8,0,170.9,0,18.7,1173.8,450.5,4.1,0,0,0.5,72.1,27.7,0.3,0,0,0,,,,,,
1,2016," ",24,,,,29935,2011.7,188.4,1631.7,0.8,190.8,0,18.3,1167.6,457.8,5.7,0,0,0.7,71.6,28.1,0.3,0,0,0,,,,,,
1,2017," ",24,,,,29217,2038,176.8,1650.6,0,210.6,0,17.7,1177.7,468.1,4.9,0,0,0,71.3,28.4,0.3,0,0,0,,,,,,
1,2006," ",25,,,,56611,3707.5,327.7,3073.7,9,297.1,0,18.4,3049.3,20.4,4,0,0,0,99.2,0.7,0.1,0,0,0,,,,,,
1,2007," ",25,,,,56702,3677.9,292.6,3113.8,1.5,270,0,18.2,3075.6,33.2,3,0,0,2,98.8,1.1,0.1,0,0,0.1,,,,,,
1,2008," ",25,,,,60646,3938,317.9,3328.7,1.1,290.4,0,18.2,3289.9,34.8,2,0,0,2,98.8,1,0.1,0,0,0.1,,,,,,
1,2009," ",25,,,,60078,4012.8,320.2,3381.7,0.5,310.5,0,17.8,3338.2,40.5,1,0,0,2,98.7,1.2,0,0,0,0.1,,,,,,
1,2010," ",25,,,,59317,3958.2,306.3,3346.2,3.2,302.5,0,17.7,3191,152.1,1,0,0,2,95.4,4.5,0,0,0,0.1,,,,,,
1,2011," ",25,,,,58658,3789.6,281.6,3223.3,1,283.7,0,18.2,2790.8,413.7,16.8,0,0,2,86.6,12.8,0.5,0,0,0.1,,,,,,
1,2012," ",25,,,,57925,3657.6,269.5,3109.1,1,278,0,18.6,2559.3,531.5,16.3,0,0,2,82.3,17.1,0.5,0,0,0.1,,,,,,
1,2013," ",25,,,,57018,3552.6,264.2,3014.2,1.2,273,0,18.9,2350.4,644.7,17.1,0,0,2,78,21.4,0.6,0,0,0.1,,,,,,
1,2014," ",25,,,,56035,3483.5,256.5,2952.8,1.8,272.4,0,19,2204.9,728.4,16.5,0,0,3,74.7,24.7,0.6,0,0,0.1,58,40,2,0,0,0
1,2015," ",25,,,,55554,3443,246.4,2918.7,1.4,276.5,0,19,2113,787.2,16.5,0,0,2,72.4,27,0.6,0,0,0.1,,,,,,
1,2016," ",25,,,,54797,3497.5,240.6,2960.6,0,296.4,0,18.5,2127,809.7,21.3,0,0,2.6,71.8,27.3,0.7,0,0,0.1,,,,,,
1,2017," ",25,,,,54273,3459.5,229,2920.5,0,310,0,18.6,2079.8,818.6,21.2,0,0,1,71.2,28,0.7,0,0,0,,,,,,
1,2006," ",26,,,,40844,2718.5,243.6,2242.4,12.5,220.1,0,18.2,2229.2,11.2,2,0,0,0,99.4,0.5,0.1,0,0,0,,,,,,
1,2007," ",26,,,,40804,2696.3,233.1,2236.5,13.2,213.5,0,18.2,2225.4,10.1,1,0,0,0,99.5,0.5,0,0,0,0,,,,,,
1,2008," ",26,,,,40670,2694,228.9,2241.8,10.2,213.1,0,18.1,2231.2,9.6,1,0,0,0,99.5,0.4,0,0,0,0,,,,,,
1,2009," ",26,,,,40280,2743.4,230.8,2270.6,15.2,226.8,0,17.7,2248.4,19.2,2.9,0,0,0,99,0.8,0.1,0,0,0,,,,,,
1,2010," ",26,,,,39826,2701.6,217.2,2244.9,17.9,221.7,0,17.7,2105.4,137.5,0,0,0,1.9,93.8,6.1,0,0,0,0.1,,,,,,
1,2011," ",26,,,,39294,2499.3,211.1,2079.6,6.8,201.9,0,18.9,1813.6,264.2,0.8,0,0,1,87.2,12.7,0,0,0,0,,,,,,
1,2012," ",26,,,,38728,2410,191,1996.5,18.5,204,0,19.4,1655.4,338.8,1.5,0,0,0.8,82.9,17,0.1,0,0,0,,,,,,
1,2013," ",26,,,,38192,2361,184.3,1963.2,16.3,197.2,0,19.5,1570.1,388.1,5,0,0,0,80,19.8,0.3,0,0,0,,,,,,
1,2014," ",26,,,,37801,2324.2,171.9,1941.3,11.7,199.3,0,19.5,1512.9,420.7,7.7,0,0,0,77.9,21.7,0.4,0,0,0,58,40,2,0,0,0
1,2015," ",26,,,,37521,2322.7,160.8,1949,0.8,212.1,0,19.3,1473.1,467.7,8.2,0,0,0,75.6,24,0.4,0,0,0,,,,,,
1,2016," ",26,,,,37145,2389.4,164.4,1985.7,0,239.3,0,18.7,1505.2,473.3,7.2,0,0,0,75.8,23.8,0.4,0,0,0,,,,,,
