"owis","site"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MI","http://www.sbo-depiramide.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MK","http://www.de-breul.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ML","http://www.hetnieuweeemland.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MN","http://www.burcht-ridderkerk.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MP","http://www.noordgouw.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MS","http://www.profwaterinkschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MU","http://www.renn4.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MV","http://www.scholenaanzee.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MY","http://www.sbo-despringplank.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00NE","http://www.janvanbrabantcollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00NT","http://www.leokanner.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00NY","http://www.home.zonnet.nl/sbodeveste"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00OB","http://www.maaswaalcollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00OJ","http://www.klimopschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00ON","http://www.entrea.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00OQ","http://www.kortevlietschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00OS","http://www.puntspeciaal.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00PF","http://www.carmelcollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00PG","http://www.wartburg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00PJ","http://www.erasmuscollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00PQ","http://www.sofier.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00PS","http://www.atscholen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00PZ","http://www.hermanbroerenschool.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RK","http://www.stroom.spon.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RL","http://www.antoniusrso.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RO","http://www.amadeuslyceum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RS","http://www.talryk.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RT","http://www.sonnewijser.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RU","http://www.dewissel-hoorn.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RX","http://www.sbo-arcadia.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00RZ","http://www.montessoricollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SH","http://www.ivoo.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SI","http://www.ozc-orion.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SL","http://www.mozarthof.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SO","http://www.hamalandschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SQ","http://www.ssbofocus.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SU","http://www.zml-triantaschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00SZ","http://www.jfc.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TL","http://www.hetnieuwelyceum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TM","http://www.hendrikpiersoncollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TN","http://www.sbo-opdetump.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TO","http://www.talita-koemi.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TQ","http://www.mariendael.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TR","http://www.hertogvanbrabantschool.com"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00TU","http://www.gsr.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UE","http://www.steenenkamer.spon.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UI","http://www.michaelschool-amersfoort.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UM","http://www.erfgooiers.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UN","http://www.tijstroom.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UT","http://www.latasteschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UY","http://www.beatrixdeburcht.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00UZ","http://www.fioretti.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00VD","http://www.bskompas.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00VR","http://www.sjm.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00VV","http://www.redl.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00VW","http://www.dekameleon.spon.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00VY","http://www.cals.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00WD","http://www.sgpantarhei.nl"
