ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,MAATWERKAFSPRAAK_FORMATIE_OP_LA,MAATWERKAFSPRAAK_FORMATIE_OP_LB,MAATWERKAFSPRAAK_FORMATIE_OP_LC,MAATWERKAFSPRAAK_FORMATIE_OP_LD,MAATWERKAFSPRAAK_FORMATIE_OP_LE,MAATWERKAFSPRAAK_FORMATIE_OP_OVERIG,DATUM_MAATWERKAFSPRAAK,TOELICHTING_MAATWERKAFSPRAAK
3,2014,"02QX","Petrus Canisius College",0,44,30,26,0,0,2014-09-15,""
3,2014,"02QZ","Keizer Karel College",0,8,42,50,0,0,2013-06-06,""
3,2014,"02SY","SGM Vwo Dorenweerd Coll",0,49,12,38,0,0,2014-12-05,""
3,2014,"02TC","Christiaan Huygens Coll",0,53,26,20,0,0,2015-04-21,""
3,2014,"02TG","Het Baarnsch Lyceum",0,0,55,45,0,0,2014-10-09,""
3,2014,"02TZ","RK SGM St Michaelcollege",0,30,24,46,0,0,2014-06-24,""
3,2014,"02UB","St Vituscollege",0,28,37,35,0,0,2015-01-15,""
3,2014,"02UE","SGM St Bonifatius Coll",0,5,36,59,0,0,2014-07-14,""
3,2014,"02UG","Laurens Lyceum",0,21,24,55,0,0,2014-11-06,""
3,2014,"02UT","VCL",0,2,44,54,0,0,2014-10-13,""
3,2014,"02VC","Comenius Chr SGM",0,52,22,26,0,0,2015-03-05,""
3,2014,"02VD","Visser t Hooft Lyceum",0,26,47,27,0,0,2014-09-29,""
3,2014,"02VE","NSG Groenewoud",0,35,28,37,0,0,2014-12-18,""
3,2014,"02VM","Christelijk Lyceum SGM",0,39,22,39,0,0,2014-07-03,""
3,2014,"02VO","Gymnasium Novum",0,8,55,37,0,0,2014-12-22,""
3,2014,"02VQ","Pascal College",0,16,58,26,0,0,2014-12-10,""
3,2014,"02VS","Baudartius College",0,40,34,26,0,0,2014-06-12,""
3,2014,"02XJ","Chr SGM Reggesteyn",0,53,28,19,0,0,2014-07-08,""
3,2014,"02XS","Altena College Chr SGM",0,35,33,32,0,0,2014-06-30,""
3,2014,"02ZC","Gymn vh Bernardinuscoll",0,43,17,40,0,0,2015-03-25,""
3,2014,"03AQ","Open Sgm Bylmer",0,49,36,14,0,0,2014-11-03,""
3,2014,"03FO","CVO 't Gooi",0,24,52,24,0,0,2014-07-10,""
3,2014,"03KN","RK SGM Pius X",0,47,37,16,0,0,2015-04-09,""
3,2014,"03KZ","PrO Hardenberg",0,68,32,0,0,0,2014-07-02,""
3,2014,"03OY","Niftarlake College",0,14,52,34,0,0,2015-05-27,""
3,2014,"03RB","Chr SGM Prins Maurits",0,31,39,30,0,0,2014-09-25,""
3,2014,"03RU","Herbert Vissers College",0,37,44,19,0,0,2014-05-20,""
3,2014,"03WO","Van Lodensteincollege",0,52,33,15,0,0,2014-07-18,""
3,2014,"03XF","Mundium College",0,42,39,19,0,0,2015-03-25,""
3,2014,"03XM","Chr SGM Dingstede",0,51,22,27,0,0,2015-01-07,""
3,2014,"03XS","Chr SGM Walcheren",0,46,23,31,0,0,2014-10-02,""
3,2014,"04FR","De Diken- loc De Zuiderpoort",0,62,31,7,0,0,2014-05-15,""
3,2014,"04GU","Elde College Schijndel",0,62,18,20,0,0,2016-11-09,""
3,2014,"04IX","Kalsbeek College",0,25,54,21,0,0,2015-06-01,""
3,2014,"04SU","Voortgezet Onderwijs Veghel",0,46,26,28,0,0,2014-05-28,""
3,2014,"04XU","Baanderherencollege Vmbo",0,49,44,7,0,0,2014-12-11,""
3,2014,"04YE","Opb SGM Singelland",0,62,17,21,0,0,2014-09-23,""
3,2014,"04YX","Munnikenheide College",0,48,44,8,0,0,2014-06-12,""
3,2014,"05AC","Kei College",0,51,36,13,0,0,2015-02-03,""
3,2014,"05AV","Twents Carmel College",0,46,28,26,0,0,2014-10-10,""
3,2014,"05AX","SGM De Overlaat",0,58,42,0,0,0,2014-10-14,""
3,2014,"05FB","Het Assink lyceum",0,49,23,28,0,0,2014-11-17,""
3,2014,"05FE","RK SGM Thamen",0,34,53,12,0,0,2014-05-20,""
3,2014,"05FJ","Emmacollege",0,41,49,10,0,0,2014-10-15,""
3,2014,"05OP","Praktijkschool De Bolster",0,77,23,0,0,0,2014-05-26,""
3,2014,"05PL","Ds. Pierson College",0,34,43,23,0,0,2014-10-15,""
3,2014,"05TA","CSG Willem De Zwijger",0,22,44,34,0,0,2014-10-15,""
3,2014,"06HF","Udens College",0,49,26,24,0,0,2014-07-01,""
3,2014,"06WY","Grienden College",0,42,50,8,0,0,2014-10-14,""
3,2014,"06XL","Markland College Oudenbosch",0,50,26,24,0,0,2014-09-23,""
3,2014,"07KP","Vakcollege Maarsbergen",0,42,48,10,0,0,2014-09-29,""
3,2014,"07MU","Rodenborch-College",0,55,9,36,0,0,2014-07-02,""
3,2014,"07MZ","School voor PRO De Poort",0,46,54,0,0,0,2014-10-16,""
3,2014,"08CU","Emmauscollege",0,17,43,40,0,0,2014-07-14,""
3,2014,"08LP","Isendoorn College",0,50,22,27,0,0,2014-11-14,""
3,2014,"08PS","Symbion",0,65,30,5,0,0,2015-05-20,""
3,2014,"08UV","Focus",0,68,32,0,0,0,2014-10-08,""
3,2014,"08VU","Chr SGM Willem v Oranje",0,19,44,37,0,0,2014-09-17,""
3,2014,"09VK","VMBO onder bestuur ROC v A'dam",0,31,50,11,0,0,2014-12-17,""
3,2014,"10LU","Reg Sgm 't Rijks",0,52,19,29,0,0,2014-09-30,""
3,2014,"11AI","Gooise Praktijkschool",0,33,58,9,0,0,2014-06-24,""
3,2014,"12IR","Sgm de Nieuwe Veste",0,52,26,22,0,0,2014-09-30,""
3,2014,"12NW","Produs",0,59,40,1,0,0,2015-05-20,""
3,2014,"13EB","Praktijkonderwijs Zutphen",0,77,23,0,0,0,2014-10-08,""
3,2014,"13EE","Regionale Sgm Enkhuizen",0,47,24,29,0,0,2014-09-30,""
