ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,MAATWERKAFSPRAAK_FORMATIE_OP_LA,MAATWERKAFSPRAAK_FORMATIE_OP_LB,MAATWERKAFSPRAAK_FORMATIE_OP_LC,MAATWERKAFSPRAAK_FORMATIE_OP_LD,MAATWERKAFSPRAAK_FORMATIE_OP_LE,MAATWERKAFSPRAAK_FORMATIE_OP_OVERIG,DATUM_MAATWERKAFSPRAAK,TOELICHTING_MAATWERKAFSPRAAK
3,2014,"24PY","Stedelijk Dalton Lyceum",0,11,57,32,0,0,2015-02-20,""
3,2014,"24RW","O V C",0,43,35,22,0,0,2014-10-09,""
3,2014,"24TG","Gooise Scholen Federatie Weesp",0,24,44,32,0,0,2014-06-24,""
3,2014,"24TP","Merewade College",0,20,56,24,0,0,2014-10-06,""
3,2014,"25CL","RSG Stad en Esch",0,48,28,24,0,0,2014-12-09,""
3,2014,"25CR","csg Bogerman",0,56,21,23,0,0,2014-05-15,""
3,2014,"25CV","Bornego College",0,59,24,17,0,0,2014-07-02,""
3,2014,"25DA","Atlas College",0,53,26,21,0,0,2014-11-27,""
3,2014,"25FX","Reynaert College",0,48,24,28,0,0,2014-06-01,""
3,2014,"25FY","Raayland College",0,46,29,25,0,0,2014-10-06,""
3,2014,"25GA","SCZ - Picasso Lyceum",0,23,55,22,0,0,2015-01-29,""
3,2014,"25GB","Marne College",0,56,25,19,0,0,2014-05-15,""
3,2014,"25GC","SGM Breda voor Katholiek VO",0,51,28,20,0,0,2016-07-08,""
3,2014,"25GD","Andreas College",0,17,57,26,0,0,2014-11-18,""
3,2014,"25GE","CSG Het Streek",0,36,34,30,0,0,2015-02-20,""
3,2014,"25GF","Dendroncollege",0,49,25,26,0,0,2014-10-01,""
3,2014,"25GM","dr Aletta Jacobs College",0,55,24,21,0,0,2014-09-12,""
3,2014,"25KX","Lorentz Casimir Lyceum",0,40,16,44,0,0,2014-11-11,""
3,2014,"25MG","Commanderij College",0,53,26,21,0,0,2014-05-27,""
3,2014,"26HD","De Sprong",0,60,40,0,0,0,2014-09-25,""
3,2014,"26HF","De Wissel",0,76,24,0,0,0,2015-01-19,""
3,2014,"26HL","Terra Nigra PrO",0,42,58,0,0,0,2014-10-09,""
3,2014,"26HN","Limes Praktijkonderwijs",0,47,49,4,0,0,2014-11-18,""
3,2014,"26HU","Accent Nijkerk",0,67,21,12,0,0,2014-07-17,""
3,2014,"26JV","Praktijkschool Hulst",0,40,60,0,0,0,2014-06-01,""
3,2014,"26JZ","De Faam",0,16,58,26,0,0,2014-12-10,""
3,2014,"26KH","PRAKTICON",0,65,35,0,0,0,2014-07-09,""
3,2014,"26KP","De Compagnie Sevenwolden",0,63,37,0,0,0,2015-02-03,""
3,2014,"26KR","MaxX",0,73,22,5,0,0,2014-09-29,""
3,2014,"26KZ","Openbare School voor Pro",0,61,31,8,0,0,2015-03-25,""
3,2014,"26LL","De Sprong",0,78,22,0,0,0,2015-01-06,""
3,2014,"26LR","Groene Hart Praktijkschool",0,49,36,15,0,0,2014-11-03,""
3,2014,"26LT","Het Segment School v PRO",0,42,58,0,0,0,2014-10-07,""
3,2014,"26MJ","Laurentius Praktijksch",0,63,29,8,0,0,2014-07-07,""
3,2014,"26MZ","Bhc Praktijkonderwijs",0,40,50,10,0,0,2014-12-11,""
3,2014,"27DG","De Passie",0,41,26,33,0,0,2014-07-15,""
3,2014,"27MD","Kennemer College",0,28,43,29,0,0,2014-09-11,""
3,2014,"27RW","De Passie",0,50,22,28,0,0,2014-07-15,""
3,2014,"27VF","Hans Petri School",0,51,46,3,0,0,2014-10-14,""
3,2014,"27VG","Porta Mosana College",0,37,31,32,0,0,2014-10-09,""
3,2014,"27ZH","Sint-Maartenscollege",0,30,37,33,0,0,2014-10-09,""
3,2014,"27ZJ","Bonnefantencollege",0,52,23,25,0,0,2014-10-09,""
3,2014,"28AC","De Passie",0,0,0,0,0,0,2014-07-15,""
3,2014,"28BN","Kennemer Praktijkschool",0,60,28,12,0,0,2014-09-11,""
3,2014,"28BU","Pro-Almere Marathonlaan",0,64,36,0,0,0,2014-10-09,""
3,2014,"29WG","De Passie",0,56,10,34,0,0,2014-07-15,""
3,2014,"29YT","Zuiderzee College",0,19,76,5,0,0,2015-02-05,""
3,2014,"30AU","Citadel College",0,67,19,14,0,0,2014-10-14,""
3,2014,"30EU","Markland College Zevenbergen",0,50,26,24,0,0,2014-09-23,""
3,2014,"30GD","Stedelijk Gymnasium Socrates",0,0,34,66,0,0,2015-02-11,""
3,2014,"30JN","Sint-Vitusmavo",0,28,37,35,0,0,2015-01-15,""
