PROVINCIE,BEVOEGD GEZAG NUMMER,BRIN NUMMER,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM
Drenthe,10249,16AH,Openbare Basisschool 't Eenspan,Oosterstraat,58,7822 HG,EMMEN,0114,EMMEN,Openbaar,0591659840,www.obs-eenspan.nl,Oosterstraat,58,7822 HG,EMMEN,12,Emmen,05,Zuid- en Midden-Drenthe,08,Zuidoost-Drenthe,08,Zuidoost-Drenthe,04,Assen-Hoogeveen-Emmen,08,Zuid-Oost Drenthe
Drenthe,10249,16BX,Openbare Basisschool 2 Emmen Mr Vegter,Bargermeerweg,113,7811 LD,EMMEN,0114,EMMEN,Openbaar,0591659842,www.obs-mr-vegter.nl,Bargermeerweg,113,7811 LD,EMMEN,12,Emmen,05,Zuid- en Midden-Drenthe,08,Zuidoost-Drenthe,08,Zuidoost-Drenthe,04,Assen-Hoogeveen-Emmen,08,Zuid-Oost Drenthe
Drenthe,10249,16DJ,Openbare Basisschool De Esdoorn,Buiskoolstraat,1,7814 RC,EMMEN,0114,EMMEN,Openbaar,0591659848,www.obs-esdoorn.nl,Buiskoolstraat,1,7814 RC,EMMEN,12,Emmen,05,Zuid- en Midden-Drenthe,08,Zuidoost-Drenthe,08,Zuidoost-Drenthe,04,Assen-Hoogeveen-Emmen,08,Zuid-Oost Drenthe
Drenthe,10249,16HI,Openbare Basisschool Emmermeer,Middenhaag,4,7815 LB,EMMEN,0114,EMMEN,Openbaar,0591659896,www.obs-emmermeer.nl,Middenhaag,4,7815 LB,EMMEN,12,Emmen,05,Zuid- en Midden-Drenthe,08,Zuidoost-Drenthe,08,Zuidoost-Drenthe,04,Assen-Hoogeveen-Emmen,08,Zuid-Oost Drenthe
