PROVINCIE,BEVOEGD GEZAG NUMMER,BRIN NUMMER,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES
Drenthe,10249,16AH,Openbare Basisschool 't Eenspan,Oosterstraat,58,7822 HG,EMMEN,0114,EMMEN,Openbaar,0591659840,www.obs-eenspan.nl
Drenthe,10249,16BX,Openbare Basisschool 2 Emmen Mr Vegter,Bargermeerweg,113,7811 LD,EMMEN,0114,EMMEN,Openbaar,0591659842,www.obs-mr-vegter.nl
Drenthe,10249,16DJ,Openbare Basisschool De Esdoorn,Buiskoolstraat,1,7814 RC,EMMEN,0114,EMMEN,Openbaar,0591659848,www.obs-esdoorn.nl
Drenthe,10249,16HI,Openbare Basisschool Emmermeer,Middenhaag,4,7815 LB,EMMEN,0114,EMMEN,Openbaar,0591659896,www.obs-emmermeer.nl
